Age,Gender,Marriage Status,No of People Living in Family,State,Employment Status,No_Employees,Cluster_KModes
18,Female,Other,10,Delhi,Unemployed,1000+,1
69,Male,Single,2,Andaman and Nicobar Islands,Student,1000+,1
46,Female,Single,7,Tamil Nadu,Employed(Government),10-50,3
36,Male,Single,4,Tripura,Unemployed,100-500,1
80,Male,Other,1,Goa,Retired,50-100,3
77,Female,Married,3,Himachal Pradesh,Unemployed,10-50,0
34,Female,Other,3,Delhi,Retired,10-50,0
57,Male,Single,2,Madhya Pradesh,Unemployed,10-50,0
59,Female,Married,1,Nagaland,Employed(Private),10-50,1
75,Female,Single,6,Jharkhand,Unemployed,100-500,0
63,Female,Married,5,Punjab,Student,10-50,2
50,Female,Married,8,Telangana,Retired,50-100,0
36,Male,Married,2,Himachal Pradesh,Unemployed,100-500,1
34,Male,Single,3,Karnataka,Employed(Government),100-500,2
27,Male,Married,3,Andaman and Nicobar Islands,Student,0-10,0
20,Male,Other,9,Chandigarh,Unemployed,500-1000,0
35,Female,Married,1,Uttar Pradesh,Employed(Government),10-50,0
35,Male,Other,2,Madhya Pradesh,Unemployed,50-100,0
76,Male,Other,1,Lakshadweep,Unemployed,100-500,2
69,Male,Single,3,Telangana,Employed(Private),500-1000,0
58,Male,Single,7,Chandigarh,Employed(Government),500-1000,3
33,Female,Married,6,Kerala,Student,100-500,2
68,Female,Married,7,Goa,Student,100-500,2
42,Male,Married,3,Andaman and Nicobar Islands,Unemployed,10-50,1
65,Female,Married,7,Chhattisgarh,Unemployed,10-50,0
44,Male,Single,1,Goa,Unemployed,1000+,0
70,Male,Single,6,Sikkim,Retired,500-1000,2
77,Male,Married,1,Manipur,Student,1000+,2
68,Male,Other,1,Maharashtra,Employed(Private),10-50,2
68,Male,Other,2,Meghalaya,Employed(Private),0-10,2
51,Male,Other,7,Punjab,Employed(Government),500-1000,3
78,Male,Married,9,Nagaland,Retired,50-100,0
31,Female,Other,2,Nagaland,Retired,100-500,2
55,Female,Other,8,Telangana,Employed(Government),0-10,3
53,Male,Other,3,Punjab,Retired,100-500,0
41,Female,Married,5,Haryana,Employed(Private),10-50,2
79,Female,Married,6,Tamil Nadu,Employed(Private),10-50,0
51,Female,Married,1,Mizoram,Unemployed,500-1000,0
60,Female,Other,9,Bihar,Student,1000+,0
62,Male,Single,4,Puducherry,Employed(Government),50-100,2
40,Female,Other,6,Ladakh,Employed(Private),10-50,0
66,Male,Married,6,Meghalaya,Employed(Private),10-50,1
76,Male,Single,5,Odisha,Student,1000+,3
63,Female,Single,10,Ladakh,Employed(Private),50-100,0
77,Female,Married,4,Uttarakhand,Employed(Private),10-50,0
50,Female,Married,9,Punjab,Employed(Private),100-500,0
60,Male,Other,9,Arunachal Pradesh,Unemployed,50-100,3
58,Female,Married,2,Chandigarh,Employed(Government),0-10,0
30,Male,Married,10,Manipur,Retired,100-500,0
38,Female,Married,4,Kerala,Employed(Private),500-1000,0
77,Male,Other,1,Puducherry,Retired,10-50,2
47,Male,Single,7,Punjab,Retired,1000+,3
52,Male,Married,8,Andhra Pradesh,Student,50-100,0
34,Male,Single,2,Jammu and Kashmir,Employed(Private),10-50,0
57,Female,Other,2,Lakshadweep,Employed(Private),1000+,0
76,Female,Other,6,Chandigarh,Unemployed,10-50,0
26,Female,Other,9,Jharkhand,Unemployed,0-10,2
26,Female,Other,1,Assam,Employed(Private),100-500,0
34,Male,Other,5,Assam,Unemployed,1000+,2
71,Female,Other,4,Delhi,Student,10-50,1
23,Male,Married,6,Chhattisgarh,Retired,10-50,0
60,Male,Married,9,Dadra and Nagar Haveli and Daman and Diu,Unemployed,1000+,0
27,Male,Married,1,Goa,Employed(Government),100-500,2
30,Male,Other,4,Maharashtra,Employed(Private),500-1000,2
50,Male,Other,5,Madhya Pradesh,Employed(Government),1000+,1
64,Male,Married,2,Gujarat,Unemployed,100-500,3
33,Male,Married,8,Himachal Pradesh,Student,0-10,1
47,Female,Single,7,Rajasthan,Unemployed,500-1000,3
34,Female,Married,9,Andaman and Nicobar Islands,Employed(Government),0-10,3
23,Male,Other,3,Andaman and Nicobar Islands,Retired,100-500,1
66,Male,Single,6,Kerala,Employed(Government),0-10,2
79,Female,Single,3,Dadra and Nagar Haveli and Daman and Diu,Student,0-10,0
59,Female,Single,3,Meghalaya,Retired,10-50,0
74,Female,Single,4,Meghalaya,Employed(Government),50-100,1
33,Male,Married,7,Andhra Pradesh,Student,0-10,0
58,Male,Married,1,West Bengal,Student,100-500,0
27,Female,Married,3,Maharashtra,Employed(Government),50-100,2
46,Male,Single,3,Sikkim,Student,0-10,3
49,Male,Other,9,Gujarat,Unemployed,10-50,1
23,Female,Married,4,Chhattisgarh,Employed(Government),500-1000,1
18,Male,Other,7,Chandigarh,Student,10-50,3
26,Male,Married,8,Kerala,Student,10-50,2
65,Female,Single,3,Rajasthan,Unemployed,50-100,2
68,Female,Married,1,Sikkim,Student,0-10,3
70,Female,Married,10,Gujarat,Employed(Government),50-100,2
33,Female,Married,4,Sikkim,Retired,1000+,1
28,Female,Married,6,Dadra and Nagar Haveli and Daman and Diu,Student,500-1000,0
52,Male,Single,3,Assam,Retired,1000+,0
21,Male,Married,3,Himachal Pradesh,Student,1000+,1
62,Male,Single,5,Karnataka,Unemployed,500-1000,2
44,Male,Other,4,Chandigarh,Unemployed,10-50,3
78,Female,Single,4,Puducherry,Employed(Government),0-10,0
22,Female,Other,8,Meghalaya,Employed(Private),10-50,3
43,Male,Other,9,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),1000+,1
74,Male,Single,6,Sikkim,Student,500-1000,0
41,Female,Married,3,Rajasthan,Employed(Government),50-100,3
74,Female,Single,2,Jharkhand,Unemployed,500-1000,2
52,Male,Other,5,Uttarakhand,Unemployed,1000+,2
32,Male,Married,4,Kerala,Employed(Government),50-100,2
79,Male,Other,7,Andhra Pradesh,Retired,50-100,2
64,Male,Married,10,Nagaland,Employed(Government),100-500,2
68,Female,Other,3,Bihar,Employed(Private),1000+,0
40,Female,Other,3,Himachal Pradesh,Student,100-500,0
57,Female,Married,3,Chandigarh,Unemployed,100-500,1
78,Female,Single,7,Puducherry,Student,100-500,1
65,Female,Single,3,Chhattisgarh,Employed(Government),500-1000,0
58,Male,Other,8,Nagaland,Retired,10-50,3
30,Female,Single,9,Madhya Pradesh,Employed(Private),500-1000,0
24,Female,Married,6,Kerala,Student,100-500,0
20,Male,Married,7,Dadra and Nagar Haveli and Daman and Diu,Unemployed,0-10,0
44,Female,Other,4,Jammu and Kashmir,Employed(Government),50-100,0
46,Male,Single,10,Lakshadweep,Retired,0-10,1
59,Female,Married,3,Tamil Nadu,Student,1000+,0
75,Male,Other,6,Andhra Pradesh,Retired,50-100,3
29,Male,Married,4,Tripura,Employed(Government),1000+,0
32,Female,Married,7,Uttar Pradesh,Student,0-10,0
59,Male,Married,6,Goa,Employed(Government),10-50,0
38,Male,Single,2,Rajasthan,Unemployed,10-50,1
18,Male,Other,9,Punjab,Student,500-1000,0
70,Female,Single,6,Uttar Pradesh,Employed(Government),50-100,2
63,Male,Married,9,Dadra and Nagar Haveli and Daman and Diu,Unemployed,50-100,2
74,Male,Single,4,Goa,Employed(Private),500-1000,0
40,Male,Married,5,Kerala,Student,1000+,0
22,Male,Other,4,Gujarat,Retired,500-1000,3
47,Female,Married,9,Madhya Pradesh,Retired,50-100,2
78,Male,Married,6,Odisha,Retired,10-50,1
62,Male,Other,8,Assam,Retired,50-100,2
58,Female,Other,4,Uttarakhand,Retired,50-100,0
48,Female,Married,8,Haryana,Unemployed,500-1000,2
68,Male,Single,5,Uttar Pradesh,Employed(Government),500-1000,2
29,Female,Single,6,Himachal Pradesh,Student,500-1000,3
55,Male,Single,7,Tripura,Student,50-100,0
47,Male,Other,4,Gujarat,Unemployed,500-1000,0
28,Female,Other,5,Chandigarh,Unemployed,0-10,1
73,Male,Other,10,Telangana,Retired,50-100,1
45,Male,Married,5,Delhi,Unemployed,100-500,3
34,Male,Single,2,Nagaland,Employed(Private),100-500,0
74,Female,Married,6,Puducherry,Employed(Government),100-500,0
46,Female,Single,3,Bihar,Employed(Government),100-500,2
26,Male,Single,1,Dadra and Nagar Haveli and Daman and Diu,Employed(Private),500-1000,2
18,Male,Single,4,Mizoram,Unemployed,0-10,1
44,Female,Single,3,Uttarakhand,Unemployed,50-100,1
37,Female,Other,8,Madhya Pradesh,Retired,1000+,2
50,Female,Single,3,Telangana,Unemployed,500-1000,1
29,Male,Single,1,Kerala,Unemployed,50-100,2
59,Male,Other,8,Bihar,Unemployed,500-1000,0
51,Male,Married,6,Mizoram,Unemployed,500-1000,2
37,Female,Married,4,Arunachal Pradesh,Employed(Government),0-10,3
46,Female,Married,1,Goa,Employed(Government),500-1000,1
65,Female,Single,3,Andaman and Nicobar Islands,Student,1000+,0
53,Male,Married,7,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),50-100,0
75,Male,Single,9,Tamil Nadu,Employed(Private),10-50,2
41,Male,Other,3,Nagaland,Employed(Government),100-500,2
36,Female,Other,4,Chhattisgarh,Employed(Private),1000+,2
30,Female,Married,8,Himachal Pradesh,Employed(Government),0-10,2
56,Male,Single,8,Sikkim,Student,1000+,1
18,Female,Single,5,Meghalaya,Employed(Government),500-1000,0
32,Male,Single,1,Kerala,Retired,500-1000,3
54,Male,Other,7,Bihar,Employed(Private),100-500,2
35,Female,Married,7,Jammu and Kashmir,Employed(Government),500-1000,0
21,Male,Single,5,Karnataka,Unemployed,10-50,3
39,Female,Other,2,Ladakh,Employed(Private),50-100,1
23,Female,Married,5,Tripura,Employed(Private),0-10,0
36,Female,Single,7,Punjab,Student,50-100,0
60,Female,Other,1,Maharashtra,Employed(Private),1000+,0
67,Female,Married,3,Assam,Employed(Private),100-500,0
71,Male,Married,5,Chandigarh,Student,50-100,2
36,Female,Other,6,Manipur,Retired,100-500,2
48,Male,Single,5,Goa,Employed(Government),100-500,0
72,Male,Single,2,Andhra Pradesh,Employed(Private),50-100,3
51,Male,Single,10,Telangana,Student,1000+,1
21,Female,Married,6,Ladakh,Student,0-10,3
37,Female,Single,6,Kerala,Retired,100-500,0
54,Female,Other,5,Nagaland,Retired,100-500,1
44,Male,Single,6,Haryana,Employed(Private),1000+,0
60,Female,Single,10,Meghalaya,Unemployed,10-50,0
69,Female,Other,2,Himachal Pradesh,Student,500-1000,2
65,Male,Other,1,Uttar Pradesh,Unemployed,500-1000,0
33,Female,Other,10,Assam,Student,50-100,2
32,Female,Married,6,Himachal Pradesh,Unemployed,0-10,2
59,Female,Married,1,Uttar Pradesh,Student,50-100,1
62,Female,Married,5,Dadra and Nagar Haveli and Daman and Diu,Employed(Private),10-50,3
46,Female,Single,10,Lakshadweep,Employed(Government),10-50,3
37,Male,Single,3,Chandigarh,Employed(Private),100-500,0
56,Male,Single,7,Goa,Employed(Private),100-500,1
64,Male,Other,9,Arunachal Pradesh,Unemployed,50-100,1
26,Female,Single,4,Tripura,Unemployed,500-1000,1
38,Female,Other,2,Manipur,Student,50-100,2
79,Female,Other,2,Chandigarh,Employed(Government),1000+,1
41,Female,Single,10,Chandigarh,Student,500-1000,0
24,Female,Other,1,Madhya Pradesh,Student,50-100,1
43,Male,Married,9,Gujarat,Unemployed,1000+,1
33,Female,Single,2,Uttar Pradesh,Student,10-50,2
18,Male,Single,4,Uttar Pradesh,Student,100-500,2
46,Male,Married,1,Ladakh,Employed(Private),0-10,3
42,Female,Other,5,Haryana,Employed(Private),1000+,2
65,Male,Single,8,Ladakh,Retired,500-1000,2
52,Male,Single,4,Odisha,Employed(Government),100-500,0
74,Female,Single,1,Ladakh,Unemployed,500-1000,2
35,Male,Married,1,Puducherry,Unemployed,0-10,0
72,Male,Single,10,Bihar,Employed(Government),0-10,3
38,Female,Married,2,Chhattisgarh,Retired,10-50,0
74,Male,Single,7,Andhra Pradesh,Retired,10-50,1
59,Male,Single,2,Haryana,Employed(Private),50-100,1
61,Male,Other,1,Jharkhand,Student,50-100,0
25,Male,Married,6,Bihar,Retired,10-50,1
62,Male,Other,7,Mizoram,Employed(Private),0-10,0
25,Male,Married,8,Assam,Employed(Private),0-10,2
22,Male,Married,3,Arunachal Pradesh,Retired,10-50,1
23,Female,Married,5,Jammu and Kashmir,Student,1000+,0
80,Male,Single,1,Kerala,Unemployed,500-1000,2
71,Male,Other,3,Manipur,Employed(Government),10-50,1
77,Female,Married,8,Haryana,Employed(Government),50-100,2
71,Female,Single,7,Goa,Retired,100-500,0
44,Male,Single,4,Lakshadweep,Unemployed,100-500,0
31,Female,Married,5,Tripura,Student,50-100,2
70,Female,Other,4,Tripura,Student,50-100,3
44,Male,Married,5,Tripura,Retired,100-500,1
65,Female,Single,10,Mizoram,Student,100-500,3
61,Male,Married,2,Telangana,Employed(Private),100-500,2
57,Male,Married,3,Sikkim,Employed(Government),10-50,2
22,Female,Married,8,Haryana,Employed(Private),0-10,0
67,Female,Other,5,Uttarakhand,Student,10-50,3
60,Female,Married,4,Meghalaya,Employed(Government),50-100,3
24,Male,Other,4,Uttar Pradesh,Student,50-100,3
59,Female,Single,8,Maharashtra,Retired,10-50,1
51,Female,Married,2,Kerala,Student,0-10,2
34,Male,Married,7,West Bengal,Retired,50-100,0
29,Female,Other,9,Chhattisgarh,Unemployed,100-500,0
25,Female,Single,6,Meghalaya,Unemployed,50-100,2
37,Male,Married,7,Puducherry,Employed(Government),0-10,3
20,Male,Single,4,Kerala,Student,500-1000,2
34,Female,Other,5,Sikkim,Unemployed,1000+,0
69,Female,Married,9,Jammu and Kashmir,Retired,100-500,0
76,Male,Single,7,Karnataka,Unemployed,100-500,2
68,Female,Other,6,Odisha,Student,100-500,1
37,Female,Single,7,Bihar,Student,50-100,0
21,Male,Other,4,Tripura,Employed(Government),0-10,1
21,Male,Other,9,Odisha,Unemployed,500-1000,0
51,Female,Other,10,Goa,Unemployed,50-100,1
63,Female,Single,10,Karnataka,Employed(Private),100-500,1
69,Female,Single,7,Uttarakhand,Student,50-100,1
23,Female,Married,3,Delhi,Retired,100-500,3
41,Female,Single,7,Rajasthan,Retired,1000+,0
29,Male,Other,5,Jammu and Kashmir,Student,0-10,0
71,Male,Single,9,Maharashtra,Retired,1000+,3
57,Male,Other,9,Himachal Pradesh,Retired,100-500,3
23,Male,Married,7,Haryana,Unemployed,500-1000,3
58,Female,Married,1,Jammu and Kashmir,Employed(Government),10-50,3
34,Female,Other,7,Kerala,Unemployed,10-50,2
69,Male,Other,8,Puducherry,Employed(Government),500-1000,0
20,Female,Other,6,West Bengal,Employed(Private),100-500,0
67,Male,Single,6,Chandigarh,Student,1000+,0
65,Female,Married,5,Arunachal Pradesh,Employed(Government),0-10,2
58,Male,Married,10,Tamil Nadu,Employed(Government),100-500,3
33,Female,Single,3,Manipur,Employed(Private),50-100,1
65,Female,Married,9,Jharkhand,Student,500-1000,0
25,Male,Other,9,Karnataka,Student,50-100,2
72,Female,Other,6,Mizoram,Unemployed,10-50,1
27,Male,Single,8,Sikkim,Retired,100-500,3
67,Male,Married,5,Andaman and Nicobar Islands,Employed(Private),1000+,2
44,Male,Married,9,Uttar Pradesh,Unemployed,100-500,3
24,Male,Married,8,Mizoram,Employed(Private),100-500,0
75,Female,Single,10,Dadra and Nagar Haveli and Daman and Diu,Employed(Private),50-100,3
74,Female,Married,6,Chhattisgarh,Retired,1000+,2
21,Male,Single,8,Tamil Nadu,Student,1000+,0
75,Female,Single,5,Arunachal Pradesh,Retired,10-50,1
31,Female,Single,7,Andhra Pradesh,Unemployed,50-100,0
25,Male,Single,1,Goa,Retired,100-500,1
48,Female,Single,8,Mizoram,Retired,50-100,0
20,Male,Married,8,Karnataka,Student,10-50,0
72,Male,Married,8,Bihar,Student,0-10,3
75,Female,Other,1,Bihar,Student,1000+,0
53,Female,Married,3,Goa,Retired,1000+,1
75,Male,Other,9,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),500-1000,1
52,Male,Married,5,Delhi,Employed(Government),10-50,2
76,Female,Other,5,Bihar,Employed(Government),50-100,2
59,Female,Married,6,Meghalaya,Unemployed,500-1000,0
28,Female,Single,1,Andaman and Nicobar Islands,Employed(Government),10-50,2
20,Male,Married,5,Andaman and Nicobar Islands,Student,50-100,1
63,Male,Single,4,Ladakh,Employed(Government),100-500,1
73,Male,Single,9,Ladakh,Employed(Private),0-10,0
72,Female,Other,2,Meghalaya,Employed(Government),10-50,0
64,Male,Single,8,Arunachal Pradesh,Employed(Government),100-500,2
39,Female,Single,4,Tamil Nadu,Employed(Private),0-10,2
46,Male,Married,2,Manipur,Employed(Private),50-100,2
23,Male,Single,1,Goa,Student,500-1000,1
50,Male,Single,4,Lakshadweep,Student,10-50,0
63,Female,Other,9,Himachal Pradesh,Retired,1000+,0
64,Male,Other,3,Assam,Employed(Private),50-100,3
64,Male,Single,1,Telangana,Retired,100-500,0
61,Female,Other,9,Tamil Nadu,Retired,1000+,1
47,Female,Married,6,Himachal Pradesh,Unemployed,10-50,1
50,Female,Married,8,Tamil Nadu,Retired,50-100,0
80,Female,Married,7,Assam,Unemployed,50-100,1
33,Male,Other,5,Haryana,Student,0-10,2
61,Male,Married,5,Goa,Employed(Government),50-100,0
26,Female,Single,4,Goa,Unemployed,10-50,2
22,Female,Single,1,Lakshadweep,Student,500-1000,1
52,Male,Other,1,Jharkhand,Employed(Government),50-100,2
50,Male,Single,1,Jammu and Kashmir,Unemployed,500-1000,0
27,Female,Other,1,Arunachal Pradesh,Employed(Private),10-50,0
55,Male,Married,7,Uttar Pradesh,Employed(Government),0-10,3
35,Male,Married,7,Nagaland,Employed(Private),100-500,2
57,Female,Married,1,Ladakh,Student,100-500,2
24,Female,Single,7,Nagaland,Employed(Private),1000+,2
48,Female,Single,9,Chandigarh,Employed(Private),10-50,3
27,Female,Other,2,Maharashtra,Retired,500-1000,0
65,Male,Other,10,Bihar,Retired,500-1000,0
52,Female,Other,4,Himachal Pradesh,Employed(Government),500-1000,2
39,Female,Single,4,Maharashtra,Employed(Private),10-50,2
34,Male,Single,3,Uttar Pradesh,Retired,500-1000,1
50,Male,Other,8,Meghalaya,Unemployed,1000+,1
80,Female,Other,9,Madhya Pradesh,Student,0-10,2
34,Male,Married,1,Puducherry,Retired,50-100,2
30,Female,Married,8,Nagaland,Student,1000+,3
43,Male,Single,10,Andhra Pradesh,Student,100-500,0
41,Female,Other,8,Ladakh,Employed(Government),0-10,0
78,Male,Other,3,Jharkhand,Student,1000+,3
49,Male,Married,10,Goa,Unemployed,1000+,3
76,Male,Single,9,Nagaland,Unemployed,50-100,2
29,Male,Single,10,West Bengal,Employed(Private),0-10,2
60,Female,Married,8,Karnataka,Employed(Government),100-500,2
60,Female,Single,9,Mizoram,Student,500-1000,1
44,Male,Other,9,Manipur,Retired,100-500,1
67,Female,Other,1,Mizoram,Employed(Private),100-500,1
56,Male,Other,4,Tripura,Unemployed,0-10,0
78,Male,Single,10,Tripura,Student,100-500,0
49,Male,Other,3,Karnataka,Employed(Private),500-1000,3
27,Female,Married,3,Goa,Employed(Private),50-100,3
21,Female,Married,2,Manipur,Student,0-10,2
74,Male,Married,10,Himachal Pradesh,Employed(Private),50-100,3
80,Male,Single,1,Maharashtra,Employed(Government),500-1000,3
29,Female,Other,3,Meghalaya,Student,100-500,3
26,Female,Single,10,Chandigarh,Employed(Private),500-1000,1
79,Male,Married,4,Tripura,Employed(Private),10-50,2
78,Female,Other,3,Mizoram,Employed(Government),0-10,2
78,Male,Married,7,Andhra Pradesh,Unemployed,100-500,3
66,Female,Single,10,Ladakh,Employed(Government),500-1000,1
80,Male,Single,7,Meghalaya,Retired,50-100,0
66,Female,Single,7,Rajasthan,Retired,500-1000,2
60,Female,Single,4,Chandigarh,Employed(Private),100-500,1
32,Male,Single,6,Bihar,Retired,100-500,3
43,Female,Married,4,Chhattisgarh,Student,1000+,2
31,Female,Married,4,Gujarat,Student,50-100,0
31,Female,Married,1,Goa,Student,10-50,2
53,Male,Single,2,Arunachal Pradesh,Student,50-100,3
76,Female,Other,9,Chandigarh,Employed(Government),10-50,1
47,Female,Other,4,Puducherry,Employed(Private),100-500,1
60,Female,Other,5,West Bengal,Employed(Government),50-100,2
65,Female,Married,1,Dadra and Nagar Haveli and Daman and Diu,Student,100-500,2
39,Male,Married,6,Maharashtra,Unemployed,100-500,2
26,Female,Married,3,Rajasthan,Employed(Government),10-50,1
46,Male,Other,5,Uttarakhand,Employed(Government),500-1000,2
20,Male,Married,1,Tripura,Student,500-1000,2
69,Female,Single,1,Goa,Retired,50-100,1
45,Male,Single,3,Nagaland,Retired,0-10,1
69,Female,Single,4,Himachal Pradesh,Student,500-1000,0
32,Male,Married,10,Madhya Pradesh,Employed(Government),500-1000,1
73,Female,Other,10,Tripura,Employed(Private),1000+,2
42,Male,Single,9,Uttarakhand,Employed(Private),1000+,2
70,Female,Single,4,Jharkhand,Student,50-100,1
73,Male,Married,10,Himachal Pradesh,Unemployed,100-500,1
26,Male,Married,5,Haryana,Employed(Private),50-100,3
29,Male,Married,3,Uttar Pradesh,Employed(Private),1000+,0
80,Female,Single,4,Himachal Pradesh,Employed(Government),100-500,2
20,Female,Other,7,Karnataka,Retired,10-50,0
61,Female,Married,3,Manipur,Employed(Government),100-500,0
33,Male,Married,8,Andaman and Nicobar Islands,Employed(Government),50-100,2
74,Female,Other,4,Bihar,Retired,100-500,3
62,Male,Single,1,Lakshadweep,Employed(Government),0-10,2
69,Male,Married,2,Nagaland,Retired,100-500,3
37,Female,Single,3,Mizoram,Employed(Government),50-100,0
48,Male,Married,9,Jharkhand,Student,10-50,0
74,Female,Other,10,Gujarat,Student,50-100,0
58,Female,Other,8,Odisha,Employed(Government),1000+,3
66,Male,Other,5,Chandigarh,Retired,10-50,1
32,Male,Single,3,Delhi,Employed(Private),1000+,1
36,Male,Other,6,Chandigarh,Employed(Private),0-10,3
61,Male,Other,5,Tamil Nadu,Employed(Private),1000+,1
36,Female,Other,2,Dadra and Nagar Haveli and Daman and Diu,Unemployed,0-10,0
21,Male,Single,3,Himachal Pradesh,Retired,100-500,3
28,Male,Married,10,Madhya Pradesh,Employed(Government),1000+,0
25,Female,Married,7,Gujarat,Employed(Government),10-50,0
40,Female,Other,5,Gujarat,Student,10-50,2
58,Male,Single,3,Jharkhand,Employed(Private),0-10,2
46,Female,Married,3,Haryana,Unemployed,500-1000,0
50,Female,Other,2,Sikkim,Student,1000+,2
74,Female,Other,2,Chandigarh,Employed(Government),0-10,1
41,Female,Married,9,Kerala,Retired,500-1000,3
25,Male,Single,6,Madhya Pradesh,Employed(Private),100-500,1
32,Female,Other,5,Andaman and Nicobar Islands,Retired,1000+,2
62,Female,Single,2,Ladakh,Employed(Government),1000+,3
25,Female,Single,7,Bihar,Student,10-50,0
69,Female,Single,8,Punjab,Employed(Private),100-500,2
34,Male,Other,6,Arunachal Pradesh,Employed(Private),10-50,0
60,Female,Married,9,Puducherry,Unemployed,100-500,3
22,Female,Single,1,Chandigarh,Retired,50-100,2
36,Female,Married,4,Rajasthan,Employed(Private),50-100,2
29,Female,Married,10,West Bengal,Employed(Private),500-1000,0
34,Female,Other,10,Haryana,Unemployed,10-50,2
34,Male,Single,7,West Bengal,Unemployed,10-50,1
28,Female,Married,5,Meghalaya,Retired,100-500,0
34,Male,Married,5,Madhya Pradesh,Retired,1000+,2
60,Male,Married,3,Andaman and Nicobar Islands,Employed(Private),10-50,3
30,Male,Married,4,Uttar Pradesh,Employed(Government),100-500,1
75,Female,Single,3,Uttar Pradesh,Employed(Private),10-50,0
64,Female,Other,6,Dadra and Nagar Haveli and Daman and Diu,Retired,50-100,0
35,Female,Other,6,Himachal Pradesh,Employed(Government),0-10,1
56,Male,Married,3,Andaman and Nicobar Islands,Employed(Government),1000+,0
40,Female,Married,3,Jharkhand,Retired,0-10,1
48,Male,Married,1,West Bengal,Student,0-10,0
52,Male,Married,9,Ladakh,Employed(Government),0-10,0
21,Male,Married,1,Rajasthan,Retired,50-100,1
50,Female,Married,3,Tamil Nadu,Student,0-10,2
35,Male,Other,1,Himachal Pradesh,Student,10-50,3
23,Female,Single,1,Uttarakhand,Employed(Private),1000+,1
49,Female,Other,3,Telangana,Unemployed,50-100,1
33,Male,Other,8,Uttarakhand,Employed(Private),50-100,0
40,Male,Single,5,Chandigarh,Unemployed,10-50,3
32,Female,Single,5,Mizoram,Unemployed,0-10,0
55,Male,Single,9,Himachal Pradesh,Employed(Government),100-500,1
34,Female,Married,10,Delhi,Unemployed,100-500,1
