Physical Activity Level,Dietary Habits,Sleep Duration (hours),Stress Level,Smoking Status,Alcohol Consumption,Caffeine Intake,Hydration Level,Work-Life Balance,Hobbies and Interests,Social Support,Mindfulness and Meditation Practice,Exposure to Natural Light,Technology Usage,Air Quality Exposure,Cluster_KModes
Active,Keto,4,High,Smoker,None,None,Adequate,Poor,Sports,Strong,Regular,High,Minimal,Poor,0
Active,Keto,8,Low,Former Smoker,None,High,Insufficient,Poor,Sports,Weak,Occasional,Low,Moderate,Poor,1
Sedentary,Omnivore,6,High,Smoker,None,High,Insufficient,Poor,Music,Strong,Occasional,Low,Moderate,Average,2
Sedentary,Keto,4,Moderate,Smoker,None,None,Adequate,Good,Sports,Weak,Occasional,Low,Minimal,Average,0
Sedentary,Vegan,6,Low,Smoker,Regular,None,Insufficient,Poor,Music,Moderate,Occasional,Moderate,Excessive,Poor,0
Moderate,Mediterranean,11,Low,Smoker,Occasional,Low,Adequate,Good,Music,Moderate,Regular,Low,Minimal,Average,0
Sedentary,Keto,9,Moderate,Smoker,Regular,None,Insufficient,Excellent,Reading,Weak,Occasional,Moderate,Moderate,Good,0
Sedentary,Omnivore,8,Low,Non-smoker,None,Low,Insufficient,Excellent,Reading,Strong,None,High,Moderate,Good,2
Active,Vegetarian,9,Low,Smoker,Occasional,None,Insufficient,Poor,Reading,Weak,None,High,Moderate,Poor,0
Sedentary,Omnivore,11,High,Smoker,Occasional,High,Adequate,Poor,Sports,Weak,Regular,High,Excessive,Good,3
Moderate,Keto,8,High,Smoker,Regular,Low,Adequate,Excellent,Sports,Moderate,None,Low,Excessive,Good,2
Moderate,Mediterranean,8,Moderate,Smoker,Occasional,Low,Insufficient,Good,Music,Strong,Occasional,Moderate,Minimal,Average,2
Moderate,Keto,10,Low,Smoker,None,High,Insufficient,Poor,Sports,Weak,None,Moderate,Moderate,Average,1
Active,Keto,7,Low,Non-smoker,None,None,Adequate,Excellent,Reading,Weak,Occasional,Low,Moderate,Good,0
Moderate,Vegan,11,Moderate,Former Smoker,Regular,None,Adequate,Poor,Reading,Weak,Regular,Low,Minimal,Poor,0
Active,Omnivore,4,High,Non-smoker,Occasional,Low,Insufficient,Excellent,Traveling,Strong,None,Low,Moderate,Poor,2
Active,Vegan,10,Moderate,Non-smoker,None,None,Insufficient,Fair,Traveling,Strong,None,Low,Minimal,Poor,2
Moderate,Omnivore,6,Moderate,Non-smoker,Regular,High,Adequate,Fair,Sports,Strong,Occasional,Moderate,Excessive,Average,2
Moderate,Omnivore,6,Moderate,Smoker,Regular,High,Insufficient,Poor,Traveling,Strong,Regular,High,Excessive,Good,2
Sedentary,Vegan,11,High,Former Smoker,Regular,Low,Adequate,Fair,Reading,Moderate,None,Moderate,Moderate,Good,3
Moderate,Vegan,4,Moderate,Non-smoker,Occasional,None,Insufficient,Fair,Reading,Moderate,Occasional,Moderate,Moderate,Poor,0
Moderate,Mediterranean,10,High,Former Smoker,None,Low,Insufficient,Good,Reading,Moderate,None,Low,Minimal,Average,2
Active,Vegetarian,9,Low,Former Smoker,None,High,Insufficient,Fair,Music,Strong,Regular,High,Minimal,Good,3
Active,Vegan,4,High,Former Smoker,Occasional,Low,Insufficient,Good,Reading,Moderate,None,Low,Minimal,Average,0
Moderate,Vegan,5,Moderate,Former Smoker,None,High,Insufficient,Excellent,Traveling,Weak,Occasional,Moderate,Minimal,Good,2
Sedentary,Vegan,8,Low,Non-smoker,None,None,Insufficient,Poor,Music,Moderate,Occasional,Low,Minimal,Poor,0
Sedentary,Keto,7,Low,Former Smoker,Regular,High,Insufficient,Good,Music,Moderate,None,Moderate,Moderate,Poor,0
Sedentary,Vegetarian,11,High,Smoker,Occasional,Low,Adequate,Fair,Traveling,Strong,Regular,Low,Moderate,Poor,0
Moderate,Keto,4,High,Former Smoker,Regular,High,Insufficient,Fair,Sports,Moderate,Occasional,Moderate,Excessive,Good,2
Moderate,Vegan,6,Low,Smoker,Occasional,None,Adequate,Fair,Sports,Moderate,Regular,High,Excessive,Poor,0
Active,Keto,12,Moderate,Non-smoker,Regular,High,Insufficient,Poor,Sports,Weak,Occasional,Moderate,Minimal,Poor,1
Sedentary,Vegan,4,High,Former Smoker,Regular,High,Insufficient,Excellent,Reading,Strong,None,Low,Moderate,Good,3
Active,Vegan,4,High,Former Smoker,Occasional,Low,Insufficient,Excellent,Reading,Weak,None,Moderate,Minimal,Poor,0
Moderate,Keto,4,High,Former Smoker,Occasional,High,Adequate,Excellent,Traveling,Moderate,None,Low,Minimal,Poor,0
Active,Omnivore,12,Low,Smoker,None,None,Adequate,Good,Reading,Moderate,Occasional,Moderate,Minimal,Average,0
Sedentary,Omnivore,10,Moderate,Non-smoker,None,High,Adequate,Fair,Music,Strong,Regular,High,Excessive,Good,3
Sedentary,Mediterranean,5,Low,Smoker,None,None,Adequate,Fair,Music,Moderate,Occasional,Low,Minimal,Poor,0
Sedentary,Mediterranean,12,Low,Former Smoker,Occasional,Low,Insufficient,Good,Music,Weak,None,High,Excessive,Average,0
Sedentary,Mediterranean,9,High,Non-smoker,Regular,None,Adequate,Excellent,Traveling,Weak,Regular,Low,Excessive,Poor,0
Active,Omnivore,9,High,Former Smoker,None,Low,Insufficient,Good,Music,Weak,Occasional,Moderate,Minimal,Good,2
Moderate,Mediterranean,8,Moderate,Former Smoker,Regular,High,Adequate,Good,Music,Strong,None,Low,Moderate,Average,3
Sedentary,Vegan,8,Low,Smoker,Regular,High,Adequate,Good,Sports,Weak,Regular,High,Moderate,Good,0
Moderate,Keto,12,Low,Non-smoker,Regular,None,Adequate,Fair,Sports,Weak,Occasional,Low,Excessive,Poor,0
Moderate,Keto,9,Low,Smoker,None,Low,Adequate,Fair,Reading,Weak,None,Low,Excessive,Poor,0
Moderate,Vegan,8,Moderate,Smoker,Occasional,High,Insufficient,Good,Traveling,Weak,Occasional,Moderate,Minimal,Average,0
Sedentary,Omnivore,4,Low,Former Smoker,None,High,Insufficient,Poor,Music,Strong,Regular,Low,Excessive,Good,2
Moderate,Keto,8,Low,Former Smoker,None,High,Adequate,Good,Traveling,Weak,None,Moderate,Minimal,Average,0
Sedentary,Keto,4,Low,Non-smoker,None,High,Adequate,Excellent,Sports,Strong,Regular,High,Minimal,Good,2
Active,Vegan,7,Moderate,Former Smoker,Occasional,High,Insufficient,Excellent,Music,Moderate,None,High,Excessive,Poor,1
Moderate,Mediterranean,7,Moderate,Former Smoker,None,None,Adequate,Fair,Sports,Weak,Occasional,Low,Moderate,Poor,0
Active,Mediterranean,7,Moderate,Smoker,Occasional,None,Insufficient,Good,Reading,Weak,Occasional,High,Excessive,Poor,0
Moderate,Keto,9,Moderate,Smoker,Occasional,High,Insufficient,Poor,Traveling,Strong,None,Moderate,Minimal,Average,2
Active,Vegetarian,8,Moderate,Former Smoker,None,Low,Insufficient,Excellent,Music,Strong,Occasional,Low,Excessive,Good,2
Moderate,Keto,8,Low,Non-smoker,None,High,Adequate,Good,Sports,Moderate,None,Moderate,Moderate,Average,1
Moderate,Omnivore,10,High,Former Smoker,Regular,High,Adequate,Excellent,Traveling,Weak,Occasional,Moderate,Moderate,Good,3
Sedentary,Mediterranean,8,Moderate,Non-smoker,Regular,Low,Insufficient,Excellent,Music,Moderate,Regular,Moderate,Minimal,Poor,1
Active,Vegan,4,Moderate,Smoker,Occasional,High,Adequate,Excellent,Music,Moderate,Occasional,Low,Minimal,Good,3
Active,Omnivore,7,Moderate,Non-smoker,Occasional,High,Insufficient,Fair,Sports,Moderate,None,Moderate,Excessive,Poor,3
Active,Keto,11,High,Non-smoker,Regular,None,Insufficient,Good,Sports,Moderate,Regular,Low,Minimal,Poor,1
Moderate,Keto,7,High,Non-smoker,Regular,High,Insufficient,Poor,Sports,Strong,Regular,High,Minimal,Good,2
Sedentary,Omnivore,12,Moderate,Non-smoker,Regular,None,Insufficient,Good,Reading,Moderate,None,Low,Minimal,Good,0
Sedentary,Mediterranean,5,High,Former Smoker,None,None,Insufficient,Fair,Music,Weak,Regular,Low,Excessive,Poor,0
Active,Keto,10,Low,Former Smoker,Regular,High,Adequate,Poor,Reading,Moderate,Occasional,High,Moderate,Good,1
Moderate,Mediterranean,11,Low,Smoker,None,Low,Adequate,Good,Sports,Weak,None,Low,Moderate,Average,0
Sedentary,Vegan,8,Moderate,Former Smoker,None,High,Adequate,Excellent,Reading,Strong,None,Low,Minimal,Poor,0
Moderate,Omnivore,7,Moderate,Non-smoker,Occasional,High,Insufficient,Good,Traveling,Weak,Occasional,High,Moderate,Average,2
Active,Keto,12,High,Former Smoker,None,High,Adequate,Fair,Music,Weak,None,High,Minimal,Average,3
Active,Vegetarian,11,Moderate,Former Smoker,None,High,Adequate,Excellent,Traveling,Weak,Occasional,High,Moderate,Good,1
Moderate,Mediterranean,7,Moderate,Non-smoker,Regular,High,Insufficient,Fair,Music,Moderate,Occasional,Moderate,Moderate,Average,1
Moderate,Vegan,4,Moderate,Smoker,Occasional,None,Adequate,Fair,Music,Strong,Occasional,Moderate,Moderate,Average,3
Moderate,Keto,7,Moderate,Non-smoker,Occasional,Low,Insufficient,Good,Music,Weak,Occasional,Moderate,Moderate,Good,2
Active,Keto,10,High,Smoker,Occasional,Low,Insufficient,Good,Sports,Weak,Occasional,High,Excessive,Average,2
Active,Vegan,10,Moderate,Former Smoker,Occasional,High,Adequate,Fair,Traveling,Strong,Occasional,High,Minimal,Average,3
Sedentary,Keto,6,Moderate,Smoker,Occasional,High,Insufficient,Good,Traveling,Moderate,Occasional,Low,Excessive,Good,2
Sedentary,Vegetarian,12,Moderate,Smoker,Occasional,Low,Insufficient,Excellent,Traveling,Strong,Regular,High,Minimal,Poor,1
Sedentary,Mediterranean,5,Low,Former Smoker,Regular,Low,Adequate,Poor,Reading,Strong,Occasional,High,Minimal,Poor,0
Active,Vegan,4,Low,Smoker,Regular,Low,Adequate,Good,Reading,Weak,None,Low,Minimal,Poor,0
Sedentary,Keto,12,Moderate,Former Smoker,Regular,Low,Insufficient,Poor,Reading,Moderate,None,Moderate,Moderate,Poor,1
Sedentary,Omnivore,9,Moderate,Former Smoker,None,Low,Adequate,Fair,Traveling,Weak,Occasional,Moderate,Excessive,Average,2
Moderate,Vegan,9,Low,Former Smoker,Occasional,High,Adequate,Fair,Reading,Strong,None,Low,Minimal,Good,3
Moderate,Mediterranean,7,Low,Non-smoker,Regular,Low,Insufficient,Excellent,Reading,Moderate,None,Low,Minimal,Good,0
Moderate,Vegan,9,High,Non-smoker,Occasional,High,Adequate,Fair,Reading,Weak,None,Moderate,Minimal,Average,3
Active,Omnivore,11,High,Smoker,Regular,Low,Insufficient,Fair,Sports,Moderate,Occasional,High,Minimal,Average,1
Active,Vegetarian,7,Low,Smoker,None,High,Insufficient,Good,Traveling,Strong,None,High,Excessive,Poor,0
Moderate,Keto,11,Moderate,Former Smoker,Regular,None,Adequate,Excellent,Music,Strong,Regular,Moderate,Excessive,Good,3
Active,Vegan,11,Low,Non-smoker,Occasional,None,Insufficient,Good,Traveling,Strong,Occasional,High,Minimal,Average,2
Moderate,Mediterranean,8,High,Smoker,None,None,Insufficient,Fair,Reading,Strong,None,High,Moderate,Good,2
Moderate,Mediterranean,10,Moderate,Non-smoker,Regular,None,Adequate,Good,Music,Moderate,Occasional,Low,Moderate,Good,2
Active,Omnivore,10,High,Smoker,None,High,Insufficient,Good,Music,Weak,Regular,Low,Excessive,Average,2
Moderate,Omnivore,9,High,Non-smoker,None,High,Insufficient,Good,Music,Moderate,Regular,Moderate,Excessive,Good,2
Sedentary,Vegan,12,Moderate,Non-smoker,Occasional,None,Insufficient,Fair,Music,Weak,Occasional,High,Minimal,Poor,0
Active,Keto,10,High,Non-smoker,None,High,Adequate,Good,Sports,Weak,Regular,High,Minimal,Poor,0
Sedentary,Vegetarian,4,Moderate,Smoker,None,High,Adequate,Poor,Traveling,Weak,Regular,Low,Moderate,Average,1
Sedentary,Mediterranean,12,Moderate,Former Smoker,Occasional,Low,Insufficient,Poor,Music,Moderate,Regular,Moderate,Moderate,Poor,1
Sedentary,Mediterranean,5,High,Smoker,None,Low,Adequate,Poor,Reading,Moderate,None,Moderate,Moderate,Good,0
Sedentary,Keto,7,High,Smoker,Occasional,High,Insufficient,Fair,Music,Moderate,Regular,High,Minimal,Good,3
Sedentary,Omnivore,9,Low,Smoker,Regular,Low,Adequate,Excellent,Music,Weak,Occasional,Moderate,Excessive,Poor,0
Sedentary,Keto,7,Low,Former Smoker,None,None,Insufficient,Good,Sports,Strong,Regular,Low,Minimal,Good,0
Moderate,Vegetarian,6,High,Non-smoker,None,None,Adequate,Good,Reading,Weak,None,Low,Minimal,Good,0
Moderate,Mediterranean,10,Low,Non-smoker,Regular,High,Adequate,Excellent,Reading,Strong,Regular,High,Minimal,Poor,0
Moderate,Vegetarian,4,High,Smoker,Regular,None,Insufficient,Fair,Sports,Strong,Occasional,Moderate,Moderate,Average,1
Moderate,Vegan,9,Moderate,Smoker,Occasional,Low,Adequate,Fair,Traveling,Moderate,None,Low,Minimal,Poor,0
Active,Keto,12,High,Smoker,Regular,None,Adequate,Poor,Sports,Strong,None,Low,Excessive,Average,3
Sedentary,Omnivore,10,Low,Smoker,Occasional,High,Adequate,Fair,Traveling,Weak,None,Low,Minimal,Average,0
Sedentary,Vegan,4,Low,Former Smoker,Regular,None,Adequate,Excellent,Music,Weak,None,Moderate,Excessive,Average,0
Moderate,Mediterranean,7,Moderate,Non-smoker,Regular,None,Adequate,Fair,Reading,Moderate,None,High,Moderate,Poor,0
Moderate,Keto,4,Low,Non-smoker,Regular,High,Insufficient,Poor,Traveling,Moderate,Regular,Low,Moderate,Poor,1
Sedentary,Vegan,11,Low,Former Smoker,None,None,Adequate,Excellent,Traveling,Weak,Occasional,Moderate,Moderate,Average,0
Sedentary,Omnivore,4,High,Non-smoker,None,Low,Adequate,Excellent,Traveling,Moderate,None,Moderate,Excessive,Average,2
Moderate,Mediterranean,11,Low,Non-smoker,None,High,Adequate,Excellent,Traveling,Moderate,Regular,Moderate,Excessive,Average,2
Sedentary,Mediterranean,6,Low,Non-smoker,None,Low,Insufficient,Fair,Sports,Weak,None,Low,Moderate,Average,0
Active,Keto,7,Low,Smoker,None,High,Insufficient,Fair,Reading,Moderate,None,High,Minimal,Average,0
Sedentary,Keto,10,Low,Former Smoker,None,Low,Adequate,Excellent,Sports,Weak,None,Moderate,Moderate,Good,3
Moderate,Omnivore,11,Low,Non-smoker,None,Low,Insufficient,Excellent,Sports,Weak,Occasional,High,Minimal,Average,2
Moderate,Vegan,8,High,Non-smoker,None,None,Adequate,Poor,Sports,Moderate,None,Moderate,Moderate,Poor,1
Moderate,Keto,6,High,Non-smoker,Regular,High,Adequate,Good,Reading,Moderate,Regular,Low,Minimal,Good,2
Active,Mediterranean,12,Moderate,Former Smoker,Regular,None,Adequate,Excellent,Sports,Weak,Occasional,Low,Excessive,Poor,0
Moderate,Mediterranean,10,High,Smoker,Occasional,Low,Adequate,Poor,Traveling,Strong,Occasional,Moderate,Moderate,Poor,2
Active,Keto,9,High,Non-smoker,Occasional,Low,Insufficient,Fair,Sports,Weak,None,Moderate,Excessive,Good,2
Sedentary,Vegetarian,11,High,Non-smoker,Occasional,None,Insufficient,Good,Music,Strong,Regular,Moderate,Moderate,Average,3
Moderate,Mediterranean,9,Low,Former Smoker,Regular,None,Adequate,Fair,Sports,Weak,None,High,Moderate,Good,0
Moderate,Omnivore,4,Low,Former Smoker,Occasional,None,Adequate,Poor,Sports,Strong,Regular,Low,Excessive,Poor,0
Active,Vegetarian,5,Moderate,Non-smoker,Regular,High,Insufficient,Excellent,Music,Weak,Occasional,Low,Excessive,Average,1
Active,Vegetarian,8,Low,Smoker,None,Low,Insufficient,Fair,Sports,Weak,Occasional,Low,Moderate,Poor,1
Active,Omnivore,6,High,Former Smoker,Occasional,None,Adequate,Good,Sports,Moderate,None,High,Moderate,Average,3
Sedentary,Mediterranean,5,High,Non-smoker,Occasional,Low,Adequate,Good,Reading,Moderate,Occasional,Moderate,Excessive,Poor,0
Sedentary,Omnivore,7,Moderate,Non-smoker,Occasional,Low,Adequate,Good,Music,Moderate,None,Moderate,Moderate,Poor,0
Active,Vegan,6,High,Non-smoker,Occasional,Low,Adequate,Fair,Music,Moderate,Occasional,Low,Excessive,Good,2
Moderate,Vegetarian,8,Low,Non-smoker,Occasional,Low,Insufficient,Fair,Music,Strong,Occasional,Low,Moderate,Good,2
Sedentary,Keto,7,Low,Smoker,Regular,Low,Insufficient,Good,Sports,Moderate,Regular,High,Moderate,Good,1
Active,Vegetarian,8,High,Smoker,Regular,None,Insufficient,Excellent,Reading,Moderate,Occasional,Moderate,Minimal,Poor,1
Active,Vegan,5,Low,Non-smoker,None,None,Insufficient,Fair,Sports,Strong,Occasional,High,Moderate,Good,2
Sedentary,Omnivore,9,High,Former Smoker,None,None,Insufficient,Poor,Music,Strong,Regular,High,Excessive,Average,1
Moderate,Vegan,11,High,Non-smoker,None,High,Adequate,Good,Music,Moderate,None,Moderate,Excessive,Good,2
Moderate,Keto,12,Low,Smoker,None,None,Adequate,Good,Music,Strong,Regular,High,Moderate,Poor,0
Active,Vegetarian,6,Moderate,Non-smoker,None,High,Insufficient,Excellent,Music,Moderate,Occasional,Moderate,Excessive,Good,2
Active,Vegan,4,High,Former Smoker,Occasional,Low,Adequate,Excellent,Traveling,Moderate,Occasional,Moderate,Moderate,Poor,3
Active,Keto,10,Moderate,Non-smoker,Regular,Low,Insufficient,Poor,Traveling,Moderate,Occasional,Moderate,Moderate,Good,1
Moderate,Vegan,6,High,Former Smoker,Occasional,None,Adequate,Good,Reading,Moderate,Regular,Low,Minimal,Good,0
Sedentary,Vegan,11,Low,Non-smoker,None,Low,Insufficient,Fair,Reading,Strong,None,High,Minimal,Poor,0
Moderate,Omnivore,5,Low,Non-smoker,Occasional,Low,Adequate,Poor,Traveling,Strong,Occasional,Moderate,Excessive,Poor,2
Moderate,Vegetarian,4,Low,Smoker,None,High,Insufficient,Poor,Sports,Moderate,Occasional,Low,Excessive,Good,2
Moderate,Vegan,10,Low,Non-smoker,Regular,None,Insufficient,Fair,Music,Weak,Occasional,Low,Excessive,Poor,2
Sedentary,Omnivore,6,Moderate,Non-smoker,None,Low,Adequate,Good,Reading,Strong,None,Low,Excessive,Poor,2
Moderate,Omnivore,8,High,Non-smoker,Regular,Low,Adequate,Excellent,Sports,Moderate,Occasional,Moderate,Excessive,Average,1
Moderate,Omnivore,4,Moderate,Non-smoker,Occasional,Low,Insufficient,Good,Sports,Weak,None,Moderate,Moderate,Poor,0
Sedentary,Keto,5,High,Former Smoker,Regular,High,Insufficient,Fair,Sports,Strong,None,High,Minimal,Poor,3
Sedentary,Vegan,11,High,Non-smoker,Occasional,High,Insufficient,Excellent,Sports,Strong,Occasional,Low,Excessive,Poor,2
Moderate,Vegan,7,Moderate,Former Smoker,None,High,Adequate,Excellent,Music,Weak,None,Low,Excessive,Average,0
Sedentary,Mediterranean,12,Low,Smoker,Regular,Low,Adequate,Fair,Music,Moderate,None,High,Moderate,Good,3
